Program,Compressed Instrument,Default Instrument
0,Piano,Acoustic Grand Piano
1,Piano,Bright Acoustic Piano
2,Piano,Electric Grand Piano
3,Piano,Honky-tonk Piano
4,Piano,Rhodes Piano
5,Piano,Chorused Piano
6,Piano,Harpsichord
7,Piano,Clavinet
8,Piano,Celesta
9,Piano,Glockenspiel
10,Piano,Music box
11,Piano,Vibraphone
12,Piano,Marimba
13,Piano,Xylophone
14,Piano,Tubular Bells
15,Piano,Dulcimer
16,Piano,Hammond Organ
17,Piano,Percussive Organ
18,Piano,Rock Organ
19,Piano,Church Organ
20,Piano,Reed Organ
21,Piano,Accordion
22,Piano,Harmonica
23,Piano,Tango Accordion
24,Piano,Acoustic Guitar (nylon)
25,Piano,Acoustic Guitar (steel)
26,Piano,Electric Guitar (jazz)
27,Piano,Electric Guitar (clean)
28,Piano,Electric Guitar (muted)
29,Piano,Overdriven Guitar
30,Piano,Distortion Guitar
31,Piano,Guitar Harmonics
32,Piano,Acoustic Bass
33,Piano,Electric Bass (finger)
34,Piano,Electric Bass (pick)
35,Piano,Fretless Bass
36,Piano,Slap Bass 1
37,Piano,Slap Bass 2
38,Piano,Synth Bass 1
39,Piano,Synth Bass 2
40,Piano,Violin
41,Piano,Viola
42,Piano,Cello
43,Piano,Contrabass
44,Piano,Tremolo Strings
45,Piano,Pizzicato Strings
46,Piano,Orchestral Harp
47,Piano,Timpani
48,Piano,String Ensemble 1
49,Piano,String Ensemble 2
50,Piano,Synth Strings 1
51,Piano,Synth Strings 2
52,Piano,Choir Aahs
53,Piano,Voice Oohs
54,Piano,Synth Voice
55,Piano,Orchestra Hit
56,Piano,Trumpet
57,Piano,Trombone
58,Piano,Tuba
59,Piano,Muted Trumpet
60,Piano,French Horn
61,Piano,Brass Section
62,Piano,Synth Brass 1
63,Piano,Synth Brass 2
64,Piano,Soprano Sax
65,Piano,Alto Sax
66,Piano,Tenor Sax
67,Piano,Baritone Sax
68,Piano,Oboe
69,Piano,English Horn
70,Piano,Bassoon
71,Piano,Clarinet
72,Piano,Piccolo
73,Piano,Flute
74,Piano,Recorder
75,Piano,Pan Flute
76,Piano,Bottle Blow
77,Piano,Shakuhachi
78,Piano,Whistle
79,Piano,Ocarina
80,Piano,Lead 1 (square)
81,Piano,Lead 2 (sawtooth)
82,Piano,Lead 3 (calliope lead)
83,Piano,Lead 4 (chiffer lead)
84,Piano,Lead 5 (charang)
85,Piano,Lead 6 (voice)
86,Piano,Lead 7 (fifths)
87,Piano,Lead 8 (brass + lead)
88,Piano,Pad 1 (new age)
89,Piano,Pad 2 (warm)
90,Piano,Pad 3 (polysynth)
91,Piano,Pad 4 (choir)
92,Piano,Pad 5 (bowed)
93,Piano,Pad 6 (metallic)
94,Piano,Pad 7 (halo)
95,Piano,Pad 8 (sweep)
96,Piano,FX 1 (rain)
97,Piano,FX 2 (soundtrack)
98,Piano,FX 3 (crystal)
99,Piano,FX 4 (atmosphere)
100,Piano,FX 5 (brightness)
101,Piano,FX 6 (goblins)
102,Piano,FX 7 (echoes)
103,Piano,FX 8 (sci-fi)
104,Piano,Sitar
105,Piano,Banjo
106,Piano,Shamisen
107,Piano,Koto
108,Piano,Kalimba
109,Piano,Bagpipe
110,Piano,Fiddle
111,Piano,Shana
112,Piano,Tinkle Bell
113,Piano,Agogo
114,Piano,Steel Drums
115,Piano,Woodblock
116,Piano,Taiko Drum
117,Piano,Melodic Tom
118,Piano,Synth Drum
119,Piano,Reverse Cymbal
120,Piano,Guitar Fret Noise
121,Piano,Breath Noise
122,Piano,Seashore
123,Piano,Bird Tweet
124,Piano,Telephone Ring
125,Piano,Helicopter
126,Piano,Applause
127,Piano,Gunshot
